iter	Passed	Remaining
309	5197	11567
310	5212	11548
311	5229	11531
312	5245	11512
313	5261	11494
314	5277	11475
315	5292	11456
316	5309	11440
317	5328	11427
318	5345	11412
319	5362	11394
320	5379	11379
321	5395	11359
322	5410	11341
323	5427	11324
324	5444	11307
325	5460	11289
326	5478	11275
327	5494	11256
328	5510	11238
329	5527	11222
330	5542	11202
331	5559	11185
332	5578	11174
333	5597	11162
334	5617	11151
335	5637	11141
336	5656	11128
337	5673	11112
338	5692	11098
339	5711	11087
340	5729	11072
341	5751	11065
342	5770	11052
343	5789	11040
344	5810	11032
345	5828	11016
346	5845	11001
347	5863	10985
348	5881	10970
349	5897	10952
350	5914	10935
351	5929	10915
352	5945	10896
353	5961	10878
354	5976	10859
355	5992	10841
356	6008	10821
357	6023	10802
358	6041	10787
359	6061	10776
360	6085	10771
361	6104	10759
362	6123	10746
363	6143	10734
364	6162	10721
365	6181	10707
366	6203	10700
367	6221	10684
368	6236	10665
369	6255	10651
370	6271	10633
371	6286	10613
372	6303	10595
373	6323	10583
374	6341	10569
375	6360	10555
376	6381	10545
377	6401	10533
378	6420	10519
379	6440	10508
380	6460	10495
381	6478	10481
382	6498	10469
383	6517	10454
384	6537	10442
385	6556	10429
386	6573	10411
387	6589	10393
388	6606	10376
389	6622	10358
390	6638	10339
391	6656	10324
392	6672	10306
393	6688	10287
394	6703	10268
395	6719	10248
396	6734	10229
397	6749	10208
398	6764	10189
399	6780	10171
400	6797	10153
401	6813	10136
402	6830	10119
403	6847	10101
404	6863	10083
405	6878	10064
406	6894	10045
407	6910	10027
408	6926	10009
409	6943	9992
410	6960	9974
411	6977	9958
412	6994	9941
413	7012	9925
414	7030	9910
415	7048	9894
416	7064	9877
417	7080	9858
418	7097	9841
419	7160	9887
420	7186	9883
421	7204	9867
422	7220	9849
423	7240	9835
424	7258	9820
425	7277	9805
426	7297	9792
427	7319	9782
428	7337	9766
429	7360	9756
430	7383	9747
431	7403	9733
432	7420	9717
433	7439	9702
434	7459	9688
435	7477	9673
436	7503	9667
437	7520	9649
438	7536	9631
439	7554	9614
440	7580	9609
441	7598	9592
442	7618	9578
443	7640	9568
444	7655	9547
445	7673	9531
446	7691	9515
447	7707	9497
448	7724	9479
449	7739	9459
450	7760	9446
451	7778	9430
452	7795	9412
453	7811	9394
454	7828	9377
455	7844	9358
456	7862	9342
457	7879	9325
458	7896	9306
459	7911	9286
460	7927	9268
461	7943	9250
462	7960	9233
463	7977	9215
464	7993	9197
465	8016	9185
466	8034	9169
467	8054	9155
468	8075	9142
469	8099	9133
470	8119	9119
471	8135	9100
472	8155	9086
473	8171	9068
474	8188	9050
475	8205	9032
476	8221	9014
477	8237	8995
478	8256	8980
479	8273	8962
480	8291	8946
481	8307	8927
482	8322	8908
483	8340	8891
484	8356	8873
485	8372	8854
486	8391	8839
487	8411	8824
488	8427	8806
489	8443	8788
490	8458	8768
491	8474	8750
492	8500	8741
493	8518	8725
494	8538	8710
495	8557	8695
496	8574	8677
497	8593	8662
498	8617	8651
499	8633	8633
500	8651	8616
501	8669	8600
502	8687	8583
503	8702	8564
504	8718	8545
505	8737	8530
506	8762	8520
507	8781	8504
508	8799	8487
509	8815	8470
510	8837	8456
511	8852	8437
512	8867	8418
513	8885	8401
514	8900	8382
515	8919	8366
516	8938	8350
517	8954	8332
518	8970	8313
519	8986	8295
520	9006	8280
521	9022	8261
522	9041	8246
523	9059	8229
524	9078	8213
525	9093	8194
526	9108	8175
527	9127	8159
528	9145	8142
529	9164	8127
530	9185	8112
531	9205	8097
532	9226	8084
533	9247	8069
534	9266	8054
535	9284	8037
536	9303	8021
537	9323	8006
538	9341	7990
539	9360	7974
540	9383	7961
541	9405	7947
542	9423	7930
543	9439	7912
544	9455	7894
545	9472	7876
546	9487	7857
547	9503	7838
548	9519	7820
549	9534	7801
550	9550	7782
551	9567	7764
552	9583	7746
553	9600	7728
554	9616	7710
555	9631	7691
556	9647	7673
557	9664	7655
558	9680	7637
559	9698	7620
560	9716	7603
561	9732	7585
562	9748	7567
563	9765	7549
564	9783	7532
565	9809	7522
566	9830	7507
567	9851	7492
568	9872	7478
569	9894	7464
570	9914	7449
571	9936	7435
572	9962	7423
573	9978	7405
574	10002	7393
575	10019	7375
576	10034	7356
577	10050	7337
578	10066	7319
579	10083	7301
580	10100	7284
581	10116	7265
582	10132	7247
583	10149	7229
584	10164	7210
585	10179	7191
586	10196	7173
587	10212	7155
588	10231	7139
589	10248	7121
590	10264	7103
591	10279	7084
592	10295	7065
593	10311	7048
594	10327	7029
595	10342	7010
596	10358	6992
597	10373	6973
598	10389	6955
599	10404	6936
600	10423	6920
601	10439	6901
602	10456	6884
603	10472	6865
604	10489	6848
605	10507	6831
606	10526	6815
607	10545	6799
608	10565	6783
609	10584	6767
610	10607	6753
611	10627	6737
612	10645	6720
613	10667	6705
614	10686	6689
615	10706	6674
616	10777	6689
617	10803	6678
618	10818	6658
619	10833	6640
620	10850	6622
621	10866	6603
622	10881	6584
623	10897	6566
624	10914	6548
625	10931	6530
626	10946	6511
627	10963	6494
628	10985	6479
629	11004	6462
630	11022	6446
631	11043	6430
632	11062	6413
633	11135	6428
634	11169	6420
635	11192	6406
636	11213	6389
637	11231	6372
638	11251	6356
639	11269	6339
640	11297	6327
641	11314	6309
642	11331	6291
643	11349	6273
644	11365	6255
645	11385	6239
646	11407	6224
647	11428	6208
648	11449	6192
649	11469	6175
650	11488	6158
651	11507	6142
652	11526	6125
653	11546	6108
654	11565	6091
655	11588	6076
656	11608	6060
657	11626	6043
658	11644	6025
659	11661	6007
660	11676	5988
661	11692	5969
662	11709	5951
663	11725	5933
664	11742	5915
665	11758	5897
666	11776	5879
667	11792	5860
668	11810	5843
669	11827	5825
670	11845	5808
671	11862	5790
672	11885	5774
673	11903	5757
674	11921	5739
675	11939	5722
676	11958	5705
677	11975	5687
678	11991	5668
679	12008	5651
680	12024	5632
681	12040	5614
682	12056	5595
683	12071	5577
684	12087	5558
685	12103	5540
686	12121	5522
687	12145	5507
688	12165	5491
689	12191	5477
690	12321	5509
691	12355	5499
692	12378	5483
693	12397	5466
694	12416	5448
695	12433	5430
696	12450	5412
697	12466	5393
698	12482	5375
699	12497	5356
700	12513	5337
701	12531	5319
702	12547	5300
703	12562	5282
704	12576	5262
705	12592	5244
706	12609	5225
707	12627	5208
708	12647	5191
709	12664	5172
710	12681	5154
711	12700	5137
712	12717	5119
713	12734	5100
714	12751	5082
715	12769	5064
716	12788	5047
717	12806	5029
718	12824	5011
719	12843	4994
720	12861	4976
721	12878	4958
722	12896	4941
723	12914	4923
724	12930	4904
725	12949	4887
726	12967	4869
727	12984	4851
728	12999	4832
729	13015	4813
730	13031	4795
731	13046	4776
732	13061	4757
733	13076	4738
734	13094	4721
735	13110	4702
736	13125	4683
737	13141	4665
738	13157	4646
739	13172	4628
740	13188	4609
741	13203	4591
742	13219	4572
743	13234	4553
744	13250	4535
745	13265	4516
746	13280	4498
747	13296	4479
748	13311	4460
749	13328	4442
750	13345	4424
751	13363	4406
752	13380	4389
753	13397	4370
754	13414	4353
755	13430	4334
756	13447	4316
757	13463	4298
758	13479	4280
759	13498	4262
760	13514	4244
761	13530	4226
762	13546	4207
763	13562	4189
764	13579	4171
765	13596	4153
766	13615	4136
767	13630	4117
768	13647	4099
769	13664	4081
770	13681	4063
771	13698	4045
772	13714	4027
773	13729	4008
774	13745	3990
775	13762	3972
776	13778	3954
777	13796	3936
778	13812	3918
779	13828	3900
780	13845	3882
781	13860	3863
782	13879	3846
783	13896	3828
784	13912	3810
785	13930	3792
786	13947	3774
787	13963	3756
788	13979	3738
789	13995	3720
790	14011	3702
791	14026	3683
792	14042	3665
793	14058	3647
794	14074	3629
795	14091	3611
796	14107	3593
797	14126	3575
798	14145	3558
799	14165	3541
800	14182	3523
801	14198	3505
802	14214	3487
803	14230	3469
804	14245	3450
805	14260	3432
806	14276	3414
807	14294	3396
808	14311	3378
809	14330	3361
810	14350	3344
811	14374	3328
812	14390	3309
813	14408	3292
814	14423	3274
815	14440	3256
816	14456	3238
817	14473	3220
818	14489	3202
819	14505	3184
820	14520	3165
821	14537	3148
822	14553	3129
823	14569	3111
824	14584	3093
825	14601	3075
826	14617	3057
827	14633	3039
828	14649	3021
829	14664	3003
830	14680	2985
831	14697	2967
832	14712	2949
833	14729	2931
834	14745	2913
835	14760	2895
836	14777	2877
837	14793	2859
838	14808	2841
839	14823	2823
840	14839	2805
841	14856	2787
842	14872	2769
843	14886	2751
844	14902	2733
845	14921	2716
846	14937	2698
847	14952	2680
848	14967	2662
849	14982	2643
850	14998	2626
851	15047	2613
852	15077	2598
853	15102	2581
854	15126	2565
855	15151	2548
856	15172	2531
857	15196	2514
858	15218	2498
859	15242	2481
860	15266	2464
861	15292	2448
862	15313	2430
863	15336	2414
864	15358	2396
865	15378	2379
866	15397	2362
867	15415	2344
868	15435	2326
869	15454	2309
870	15472	2291
871	15492	2274
872	15514	2256
873	15537	2239
874	15560	2222
875	15584	2205
876	15607	2188
877	15630	2171
878	15652	2154
879	15674	2137
880	15697	2120
881	15717	2102
882	15737	2085
883	15755	2067
884	15772	2049
885	15791	2031
886	15809	2014
887	15827	1996
888	15844	1978
889	15864	1960
890	15885	1943
891	15907	1926
892	15930	1908
893	15952	1891
894	15971	1873
895	15987	1855
896	16004	1837
897	16020	1819
898	16041	1802
899	16061	1784
900	16079	1766
901	16097	1748
902	16115	1731
903	16135	1713
904	16157	1696
905	16179	1678
906	16201	1661
907	16225	1643
908	16246	1626
909	16268	1608
910	16289	1591
911	16315	1574
912	16333	1556
913	16352	1538
914	16366	1520
915	16383	1502
916	16400	1484
917	16418	1466
918	16435	1448
919	16450	1430
920	16467	1412
921	16482	1394
922	16499	1376
923	16514	1358
924	16530	1340
925	16546	1322
926	16563	1304
927	16579	1286
928	16601	1268
929	16618	1250
930	16635	1232
931	16654	1215
932	16676	1197
933	16695	1179
934	16719	1162
935	16737	1144
936	16755	1126
937	16772	1108
938	16790	1090
939	16807	1072
940	16825	1054
941	16842	1037
942	16858	1018
943	16874	1001
944	16892	983
945	16913	965
946	16931	947
947	16948	929
948	16965	911
949	16984	893
950	17000	875
951	17019	858
952	17036	840
953	17055	822
954	17073	804
955	17090	786
956	17105	768
957	17130	751
958	17151	733
959	17173	715
960	17194	697
961	17214	679
962	17233	662
963	17250	644
964	17267	626
965	17284	608
966	17301	590
967	17318	572
968	17336	554
969	17351	536
970	17367	518
971	17383	500
972	17399	482
973	17415	464
974	17432	446
975	17447	429
976	17465	411
977	17482	393
978	17500	375
979	17516	357
980	17532	339
981	17547	321
982	17564	303
983	17580	285
984	17597	267
985	17613	250
986	17656	232
987	17673	214
988	17690	196
989	17706	178
990	17722	160
991	17738	143
992	17753	125
993	17770	107
994	17789	89
995	17822	71
996	17843	53
997	17871	35
998	17894	17
999	17916	0
