iter	Logloss
0	0.657616878
1	0.6306436485
2	0.6082416589
3	0.5901734293
4	0.5750114098
5	0.5625439603
6	0.5529251662
7	0.5448808492
8	0.5382039505
9	0.5325205115
10	0.5277558906
11	0.5237833946
12	0.5204156766
13	0.5174909256
14	0.5151653095
15	0.5123896322
16	0.5102484652
17	0.5078228754
18	0.5064020779
19	0.5046426006
20	0.50316683
21	0.5020219461
22	0.5006573673
23	0.4997691846
24	0.4988782163
25	0.4980489157
26	0.4972521662
27	0.4966671487
28	0.4956263326
29	0.4950347266
30	0.4943014379
31	0.4938099762
32	0.4930809427
33	0.4923176199
34	0.4918051834
35	0.491306505
36	0.4909690093
37	0.4905120815
38	0.4901780668
39	0.4897783731
40	0.4895659759
41	0.489298221
42	0.4891258004
43	0.4886102176
44	0.4881642494
45	0.4876609943
46	0.4875079293
47	0.4873448349
48	0.4869659801
49	0.4866801274
50	0.4864078274
51	0.4861168297
52	0.4858453617
53	0.4855775275
54	0.485345767
55	0.4851064738
56	0.4848604729
57	0.4846173358
58	0.4844083313
59	0.4841285975
60	0.4839109194
61	0.4838030211
62	0.4836480112
63	0.4834005761
64	0.4831751536
65	0.4830541705
66	0.4827123302
67	0.482403205
68	0.4821822846
69	0.4819948395
70	0.4816795913
71	0.4816149873
72	0.4814429723
73	0.4812121577
74	0.4810371558
75	0.4808307356
76	0.4806761006
77	0.4805655003
78	0.4804233972
79	0.4802101816
80	0.4800855117
81	0.4799240706
82	0.4798180375
83	0.4796494382
84	0.4795611859
85	0.479404293
86	0.4792677108
87	0.4791514606
88	0.4790288034
89	0.4788560815
90	0.4787298938
91	0.478601253
92	0.4784962167
93	0.4783886057
94	0.4782708538
95	0.4782141191
96	0.4780648691
97	0.477874144
98	0.4777196179
99	0.4776131166
100	0.4774762744
101	0.4773856406
102	0.477325077
103	0.4771293944
104	0.477060037
105	0.4769900238
106	0.476855091
107	0.4767109302
108	0.4766018558
109	0.4764695442
110	0.4764023352
111	0.4763135246
112	0.4762406214
113	0.4761098981
114	0.47599373
115	0.475905923
116	0.4757961362
117	0.475673533
118	0.4755256209
119	0.4754868681
120	0.4753585305
121	0.4752371641
122	0.4751322305
123	0.4750291456
124	0.4748994005
125	0.4747944599
126	0.4746939208
127	0.4745818686
128	0.4744329113
129	0.4743404056
130	0.4741881948
131	0.4741116121
132	0.4739937502
133	0.4739082542
134	0.4738187835
135	0.4737102172
136	0.4736229474
137	0.4735577079
138	0.473425516
139	0.4733225513
140	0.4732297783
141	0.4731546322
142	0.4730941607
143	0.4730129004
144	0.4729497014
145	0.4728484039
146	0.4727686873
